,+/-,3P,3P%,3PA,AST,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Unnamed: 5,Unnamed: 7,player
61,10.0,2.0,0.25,8.0,2.0,0.0,4.0,3/2/18,10.0,0.556,18.0,4.0,0.8,5.0,59.0,1,16.4,39:23:00,0.0,MIN,3.0,26.0,62,1.0,3.0,4.0,,W (+8),donovan mitchell
62,8.0,3.0,0.375,8.0,5.0,0.0,4.0,3/3/18,7.0,0.467,15.0,10.0,1.0,10.0,60.0,1,20.9,38:22:00,1.0,SAC,2.0,27.0,63,0.0,3.0,5.0,@,W (+7),donovan mitchell
63,17.0,1.0,0.14300000000000002,7.0,4.0,1.0,5.0,3/5/18,6.0,0.375,16.0,6.0,0.75,8.0,61.0,1,12.8,40:31:00,0.0,ORL,4.0,19.0,64,1.0,1.0,5.0,,W (+14),donovan mitchell
64,3.0,4.0,0.4,10.0,6.0,0.0,2.0,3/7/18,6.0,0.4,15.0,4.0,0.8,5.0,62.0,1,10.8,36:07:00,1.0,IND,3.0,20.0,65,1.0,6.0,3.0,@,W (+20),donovan mitchell
65,15.0,3.0,0.375,8.0,6.0,1.0,5.0,3/9/18,4.0,0.267,15.0,1.0,1.0,1.0,63.0,1,4.5,34:45:00,0.0,MEM,5.0,12.0,66,2.0,5.0,5.0,@,W (+17),donovan mitchell
66,25.0,3.0,0.3,10.0,4.0,0.0,3.0,3/11/18,10.0,0.47600000000000003,21.0,4.0,1.0,4.0,64.0,1,18.2,41:05:00,0.0,NOP,2.0,27.0,67,1.0,2.0,3.0,@,W (+17),donovan mitchell
67,35.0,3.0,0.375,8.0,3.0,0.0,8.0,3/13/18,4.0,0.4,10.0,2.0,0.5,4.0,65.0,1,8.8,33:01:00,1.0,DET,3.0,13.0,68,2.0,4.0,9.0,,W (+31),donovan mitchell
68,26.0,2.0,0.28600000000000003,7.0,4.0,1.0,5.0,3/15/18,10.0,0.47600000000000003,21.0,1.0,0.25,4.0,66.0,1,15.2,36:00:00,1.0,PHO,4.0,23.0,69,1.0,1.0,6.0,,W (+28),donovan mitchell
69,20.0,1.0,0.125,8.0,3.0,0.0,2.0,3/17/18,11.0,0.524,21.0,5.0,0.833,6.0,67.0,1,18.2,39:28:00,0.0,SAC,2.0,28.0,70,2.0,3.0,2.0,,W (+6),donovan mitchell
70,2.0,1.0,0.1,10.0,4.0,0.0,4.0,3/20/18,9.0,0.321,28.0,5.0,1.0,5.0,68.0,1,10.6,40:35:00,2.0,ATL,2.0,24.0,71,1.0,3.0,6.0,,L (-5),donovan mitchell
71,5.0,1.0,0.16699999999999998,6.0,4.0,0.0,4.0,3/22/18,11.0,0.5,22.0,3.0,0.75,4.0,69.0,1,20.9,36:03:00,1.0,DAL,1.0,26.0,72,3.0,1.0,5.0,@,W (+7),donovan mitchell
72,-10.0,4.0,0.308,13.0,3.0,0.0,3.0,3/23/18,14.0,0.389,36.0,3.0,0.6,5.0,70.0,1,16.8,43:55:00,0.0,SAS,2.0,35.0,73,4.0,4.0,3.0,@,L (-4),donovan mitchell
73,15.0,4.0,0.5,8.0,6.0,1.0,1.0,3/25/18,8.0,0.42100000000000004,19.0,1.0,0.5,2.0,71.0,1,15.6,30:52:00,1.0,GSW,2.0,21.0,74,2.0,2.0,2.0,@,W (+19),donovan mitchell
74,0.0,3.0,0.375,8.0,6.0,0.0,0.0,3/28/18,7.0,0.35,20.0,5.0,0.833,6.0,72.0,1,10.4,39:42:00,0.0,BOS,3.0,22.0,75,1.0,4.0,0.0,,L (-3),donovan mitchell
75,16.0,2.0,0.25,8.0,4.0,0.0,3.0,3/30/18,7.0,0.467,15.0,6.0,0.6,10.0,73.0,1,13.2,38:05:00,0.0,MEM,3.0,22.0,76,1.0,3.0,3.0,,W (+10),donovan mitchell
76,11.0,1.0,0.33299999999999996,3.0,4.0,0.0,2.0,4/1/18,10.0,0.667,15.0,0.0,,0.0,74.0,1,15.2,31:33:00,1.0,MIN,1.0,21.0,77,2.0,5.0,3.0,@,W (+24),donovan mitchell
77,17.0,4.0,0.5,8.0,2.0,0.0,3.0,4/3/18,10.0,0.47600000000000003,21.0,2.0,0.5,4.0,75.0,1,17.1,35:49:00,3.0,LAL,2.0,26.0,78,1.0,2.0,6.0,,W (+7),donovan mitchell
78,23.0,0.0,0.0,3.0,5.0,0.0,3.0,4/5/18,6.0,0.4,15.0,7.0,0.875,8.0,76.0,1,14.1,28:21:00,2.0,LAC,3.0,19.0,79,1.0,2.0,5.0,,W (+22),donovan mitchell
79,9.0,3.0,0.429,7.0,8.0,1.0,9.0,4/8/18,9.0,0.5,18.0,7.0,0.7,10.0,77.0,1,23.4,38:01:00,0.0,LAL,1.0,28.0,80,1.0,4.0,9.0,@,W (+15),donovan mitchell
80,37.0,4.0,0.8,5.0,1.0,0.0,2.0,4/10/18,8.0,0.667,12.0,2.0,1.0,2.0,78.0,1,18.0,26:16:00,1.0,GSW,2.0,22.0,81,2.0,2.0,3.0,,W (+40),donovan mitchell
81,0.0,1.0,0.125,8.0,5.0,0.0,5.0,4/11/18,6.0,0.261,23.0,4.0,0.667,6.0,79.0,1,7.4,33:34:00,1.0,POR,2.0,17.0,82,2.0,2.0,6.0,@,L (-9),donovan mitchell
82,3.0,0.0,,0.0,5.0,1.0,7.0,10/18/17,7.0,0.5,14.0,4.0,0.667,6.0,1.0,1,18.4,34:40:00,3.0,WAS,3.0,18.0,1,2.0,1.0,10.0,@,L (-5),ben simmons
83,-7.0,0.0,,0.0,5.0,0.0,8.0,10/20/17,4.0,0.364,11.0,3.0,0.5,6.0,2.0,1,7.9,36:54:00,3.0,BOS,2.0,11.0,2,1.0,4.0,11.0,,L (-10),ben simmons
84,-20.0,0.0,0.0,2.0,8.0,0.0,9.0,10/21/17,7.0,0.43799999999999994,16.0,4.0,0.5,8.0,3.0,1,14.0,33:23:00,1.0,TOR,0.0,18.0,3,0.0,3.0,10.0,@,L (-34),ben simmons
85,12.0,0.0,,0.0,10.0,0.0,10.0,10/23/17,8.0,0.727,11.0,5.0,0.833,6.0,4.0,1,23.7,33:36:00,2.0,DET,2.0,21.0,4,1.0,4.0,12.0,@,W (+11),ben simmons
86,-13.0,0.0,0.0,1.0,9.0,1.0,5.0,10/25/17,7.0,0.41200000000000003,17.0,0.0,0.0,2.0,5.0,1,12.2,34:04:00,2.0,HOU,2.0,14.0,5,3.0,4.0,7.0,,L (-1),ben simmons
87,-1.0,0.0,,0.0,8.0,1.0,5.0,10/28/17,10.0,0.667,15.0,3.0,0.75,4.0,6.0,1,26.1,33:38:00,2.0,DAL,3.0,23.0,6,3.0,1.0,7.0,@,W (+2),ben simmons
88,10.0,0.0,0.0,1.0,9.0,0.0,6.0,10/30/17,10.0,0.667,15.0,4.0,0.444,9.0,7.0,1,18.1,38:34:00,1.0,HOU,3.0,24.0,7,0.0,5.0,7.0,@,W (+8),ben simmons
89,14.0,0.0,0.0,1.0,9.0,0.0,9.0,11/1/17,8.0,0.5,16.0,3.0,0.5,6.0,8.0,1,18.8,33:30:00,4.0,ATL,2.0,19.0,8,2.0,4.0,13.0,,W (+10),ben simmons
90,12.0,0.0,,0.0,11.0,3.0,9.0,11/3/17,5.0,0.385,13.0,4.0,1.0,4.0,9.0,1,16.6,38:32:00,2.0,IND,3.0,14.0,9,2.0,5.0,11.0,,W (+11),ben simmons
91,2.0,0.0,0.0,1.0,6.0,3.0,12.0,11/7/17,7.0,0.318,22.0,2.0,1.0,2.0,10.0,1,9.0,36:04:00,1.0,UTA,5.0,16.0,10,3.0,6.0,13.0,@,W (+7),ben simmons
92,4.0,0.0,,0.0,6.0,0.0,2.0,11/9/17,6.0,0.75,8.0,6.0,0.75,8.0,11.0,1,14.8,26:53:00,0.0,SAC,5.0,18.0,11,2.0,4.0,2.0,@,L (-1),ben simmons
93,-10.0,0.0,,0.0,8.0,0.0,2.0,11/11/17,6.0,0.353,17.0,1.0,0.25,4.0,12.0,1,8.2,28:52:00,3.0,GSW,1.0,13.0,12,2.0,4.0,5.0,@,L (-21),ben simmons
94,7.0,0.0,0.0,1.0,4.0,1.0,8.0,11/13/17,9.0,0.643,14.0,4.0,0.667,6.0,13.0,1,17.7,37:33:00,4.0,LAC,5.0,22.0,13,1.0,5.0,12.0,@,W (+4),ben simmons
95,19.0,0.0,,0.0,10.0,1.0,6.0,11/15/17,8.0,0.615,13.0,2.0,0.5,4.0,14.0,1,26.5,39:06:00,3.0,LAL,1.0,18.0,14,5.0,1.0,9.0,@,W (+6),ben simmons
96,7.0,0.0,,0.0,12.0,0.0,6.0,11/18/17,11.0,0.733,15.0,1.0,0.5,2.0,15.0,1,26.9,37:46:00,2.0,GSW,3.0,23.0,15,1.0,1.0,8.0,,L (-8),ben simmons
97,6.0,0.0,,0.0,2.0,0.0,8.0,11/20/17,13.0,0.542,24.0,1.0,0.25,4.0,16.0,1,18.6,34:16:00,2.0,UTA,2.0,27.0,16,4.0,4.0,10.0,,W (+21),ben simmons
98,18.0,0.0,,0.0,9.0,2.0,8.0,11/22/17,8.0,0.4,20.0,0.0,0.0,2.0,17.0,1,14.1,39:04:00,0.0,POR,1.0,16.0,17,3.0,3.0,8.0,,W (+20),ben simmons
99,,,,,,,,11/25/17,,,,,,,,Did Not Dress,,,,ORL,,,18,,,,,W (+19),ben simmons
100,-16.0,0.0,,0.0,2.0,1.0,5.0,11/27/17,5.0,0.455,11.0,0.0,,0.0,18.0,1,7.8,35:09:00,3.0,CLE,3.0,10.0,19,3.0,4.0,8.0,,L (-22),ben simmons
101,11.0,0.0,0.0,1.0,4.0,2.0,13.0,11/29/17,8.0,0.5,16.0,15.0,0.517,29.0,19.0,1,23.8,40:36:00,5.0,WAS,3.0,31.0,20,2.0,6.0,18.0,,W (+5),ben simmons
102,-10.0,0.0,,0.0,7.0,0.0,2.0,11/30/17,6.0,0.429,14.0,3.0,0.75,4.0,20.0,1,15.1,39:56:00,4.0,BOS,1.0,15.0,21,5.0,5.0,6.0,@,L (-11),ben simmons
103,6.0,0.0,,0.0,6.0,2.0,7.0,12/2/17,2.0,0.33299999999999996,6.0,1.0,0.5,2.0,21.0,1,5.8,39:11:00,3.0,DET,3.0,5.0,22,0.0,4.0,10.0,,W (+5),ben simmons
104,-10.0,0.0,,0.0,7.0,0.0,7.0,12/4/17,9.0,0.5,18.0,2.0,1.0,2.0,22.0,1,20.5,36:13:00,1.0,PHO,3.0,20.0,23,6.0,3.0,8.0,,L (-14),ben simmons
105,9.0,0.0,,0.0,15.0,1.0,12.0,12/7/17,6.0,0.429,14.0,0.0,0.0,2.0,23.0,1,13.0,42:34:00,0.0,LAL,4.0,12.0,24,0.0,4.0,12.0,,L (-3),ben simmons
106,-6.0,0.0,,0.0,10.0,1.0,6.0,12/9/17,7.0,0.5379999999999999,13.0,0.0,,0.0,24.0,1,10.0,35:32:00,0.0,CLE,3.0,14.0,25,1.0,7.0,6.0,@,L (-7),ben simmons
